WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
afsláttur	a f s t l au h t Y r	n	all	false	head	true	IS	true	
afslætti	a f s t l ai h t I	n	all	false	head	true	IS	true	
afsprengi	a f s p r ei J c I	n	all	false	head	true	IS	true	
afstaða	a f s t a D a	n	all	false	head	true	IS	true	
afstætt	a f s t ai h t	lo	all	false	none	true	IS	true	
afstæður	a f s t ai D Y r	lo	all	false	none	true	IS	true	
afstæður	a f s t ai D Y r	n	all	false	none	true	IS	true	
afstöðu	a f s t 9 D Y	n	all	false	both	true	IS	true	
afstöðubreytingu	a f s t 9 D Y p r ei t i N k Y	n	standard_clear	true	none	true	IS	true	
afstöðubreytingu	a f s t 9 D Y p r ei t_h i N k Y	n	north_clear	true	none	true	IS	true	
afstýra	a f s t i r a	so	all	false	none	true	IS	true	
afstýrt	a f s t i r_0 t	so	all	false	none	true	IS	true	
afsögn	a f s 9 k n_0	n	all	false	none	true	IS	true	
afsökun	a f s 9 k Y n	n	standard_clear	false	head	true	IS	true	
afsökun	a f s 9 k_h Y n	n	north_clear	false	head	true	IS	true	
afsökunar	a f s 9 k Y n a r	n	standard_clear	false	modifier	true	IS	true	""
afsökunarbeiðni	a f s 9 k Y n a r p ei D n I	n	standard_clear	true	none	true	IS	true	
afsökunarbeiðni	a f s 9 k_h Y n a r p ei D n I	n	north_clear	true	none	true	IS	true	
aftan	a f t a n	n	all	false	modifier	true	IS	true	""
aftansöngur	a f t a n s 9i N k Y r	n	all	true	none	false	IS	true	
aftar	a f t a r	n	all	false	none	false	IS	true	""
aftari	a f t a r I	lo	all	false	none	false	IS	true	
aftarlega	a f t a r l E G a	ao	all	false	none	false	IS	true	
aftast	a f t a s t	n	all	false	head	false	IS	true	""
aftenposten	a f t E n p_h ou s t E n	n	all	false	none	false	GB	true	""
after	a f t E r	n	all	false	none	false	GB	true	""
aftur	a f t Y r	ao	all	false	modifier	false	IS	true	
afturelding	a f t Y r E l t i N k	n	all	true	none	false	IS	true	
afturelding	a f t Y r E l t i N k	ns	all	true	none	false	IS	true	
aftureldingar	a f t Y r E l t i N k a r	n	all	true	none	false	IS	true	
aftureldingu	a f t Y r E l t i N k Y	n	all	true	none	false	IS	true	""
afturenda	a f t Y r E n t a	n	all	true	both	false	IS	true	
afturendann	a f t Y r E n t a n	n	all	true	head	false	IS	true	
afturgluggann	a f t Y r k l Y k a n	n	all	true	none	false	IS	true	
afturgoldið	a f t Y r k O l t I D	lo	all	true	none	false	IS	true	
afturgöngu	a f t Y r_0 k 9i N k Y	n	all	true	none	false	IS	true	
afturgöngur	a f t Y r k 9i N k Y r	n	all	true	head	false	IS	true	
afturhald	a f t Y r h a l t	n	all	true	none	false	IS	true	
afturhvarf	a f t Y r_0 k_h v a r f	n	standard_clear	true	none	false	IS	true	
afturhvarf	a f t Y r_0 x a r f	n	south_clear	true	none	false	IS	true	
afturkalla	a f t Y r_0 k_h a t l a	so	all	true	none	false	IS	true	
afturkallað	a f t Y r_0 k_h a t l a D	n	all	true	none	false	IS	true	""
afturkvæmt	a f t Y r_0 k_h v ai m t_h	lo	northeast_clear	true	none	false	IS	true	
afturkvæmt	a f t Y r_0 k_h v ai m_0 t	lo	standard_clear	true	none	false	IS	true	
afturköllun	a f t Y r_0 k_h 9 t l Y n	n	all	true	none	false	IS	true	""
afturlappirnar	a f t Y r l a h p I r t n a r	n	standard_clear	true	none	false	IS	true	
afturlappirnar	a f t Y r l a h p I t n a r	n	standard_cas	true	none	false	IS	true	
afturstuðarann	a f t Y r_0 s t Y D a r a n	n	standard_clear	true	none	false	IS	true	
afturstuðarann	a f t Y s t Y D a r a n	n	standard_cas	true	none	false	IS	true	
aftursæti	a f t Y r_0 s ai t I	n	standard_clear	true	none	false	IS	true	
aftursæti	a f t Y r_0 s ai t_h I	n	north_clear	true	none	false	IS	true	
aftursætið	a f t Y r_0 s ai t I D	n	standard_clear	true	none	false	IS	true	
aftursætið	a f t Y r_0 s ai t_h I D	n	north_clear	true	none	false	IS	true	
afturábak	a f t Y r au p a k	ao	all	true	none	false	IS	true	
afturí	a f t Y r i	ao	all	false	none	false	IS	true	
aftöku	a f t_h 9 k Y	n	standard_clear	false	both	true	IS	true	
aftöku	a f t_h 9 k_h Y	n	north_clear	false	both	true	IS	true	
aftökur	a f t_h 9 k Y r	n	standard_clear	false	head	true	IS	true	
aftökur	a f t_h 9 k_h Y r	n	north_clear	false	head	true	IS	true	
afurð	a: v Y r D	n	all	false	head	true	IS	true	""
afurða	a: v Y r D a	n	all	false	both	true	IS	true	
afurðanna	a: v Y r D a n a	n	all	false	head	true	IS	true	
afurðasamsetning	a: v Y r D a s a m s E h t n i N k	n	all	true	none	true	IS	true	
afurðatekjum	a: v Y r D a t_h E c Y m	n	standard_clear	true	none	true	IS	true	
afurðatekjum	a: v Y r D a t_h E c_h Y m	n	north_clear	true	none	true	IS	true	
afurðir	a: v Y r D I r	n	all	false	head	true	IS	true	
afurðum	a: v Y r D Y m	n	all	false	head	true	IS	true	
afviknum	a v I h k n Y m	lo	all	false	none	true	IS	true	
afvopna	a v O h p n a	so	all	false	none	true	IS	true	
afvopnun	a v O h p n Y n	n	all	false	none	true	IS	true	
afþakkað	a f T a h k a D	so	all	false	none	true	IS	true	
afþakkaði	a f T a h k a D I	so	all	false	none	true	IS	true	
afþreying	a f T r ei j i N k	n	all	false	none	true	IS	true	
afþreyingu	a f T r ei j i N k Y	n	all	false	head	true	IS	true	
aga	a: G a	n	all	false	both	false	IS	true	
aga	a: G a	so	all	false	both	false	IS	true	
agalegt	a: G a l E x t	lo	all	false	none	false	IS	true	
age	ei: t s	n	all	false	none	false	GB	true	""
aged	ei: t s t	n	all	false	none	false	GB	true	Óviss
agency	ei: t j E n s i	n	all	false	none	false	GB	true	""
agf	a: k j E: E f	n	all	false	none	false	IS	true	skst
aggagagg	a k a k a k	n	all	false	none	false	IS	true	
aggi	a c I	n	all	false	none	false	IS	true	
aggi	a c I	ns	all	false	none	false	IS	true	
agi	ai j I	n	all	false	head	false	IS	true	
agi	ai j I	so	all	false	head	false	IS	true	
aginn	ai j I n	n	all	false	head	false	IS	true	
agli	a k l I	n	all	false	none	false	IS	true	""
agn	a k n_0	n	all	false	both	false	IS	true	
agnar	a k n a r	n	all	false	both	false	IS	true	
agnarpunkts	a k n a r_0 p_h u n_0 t s	n	standard_clear	true	both	false	IS	true	
agnarpunkts	a k n a r_0 p_h u n t s	n	northeast_clear	true	both	false	IS	true	
agnars	a k n a r_0 s	ns	all	false	modifier	false	IS	true	
agnarsdóttir	a k n a r_0 s t ou h t I r	n	all	true	none	false	IS	true	""
agnarsson	a k n a r_0 s O n	n	all	true	none	false	IS	true	""
agnes	a k n E s	n	all	false	none	false	IS	true	
ags	a c j E: E s	n	all	false	none	false	IS	true	
aguero	a k v E r ou	n	all	false	none	false	GB	true	
ahmed	a x m E t	ns	all	false	none	false	GB	true	Óviss, ekki enska
aid	ei: t	n	all	false	none	false	GB	true	""
aik	a: I: k_h au:	n	all	false	none	false	IS	true	
aim	ei: m	n	all	false	none	false	GB	true	""
ain't	ei n_0 t	n	all	false	none	false	GB	true	""
air	E: r	n	all	false	none	false	GB	true	""
airbnb	E: r p i j E n p i	n	all	false	none	false	GB	true	skst
airbus	E: r_0 p 9 s	n	all	false	none	false	GB	true	
aircraft	E: r_0 k_h r a f t	n	all	false	none	false	GB	true	""
airline	E: r l ai n	n	all	false	none	false	GB	true	""
airlines	E: r l ai n s	n	all	false	none	false	GB	true	
airport	E: r_0 p_h O r_0 t	n	all	true	none	false	GB	true	""
ajax	ai j a k s	ns	all	false	none	false	NL	true	
aka	a: k a	so	standard_clear	false	head	false	IS	true	
aka	a: k_h a	so	north_clear	false	head	false	IS	true	
akandi	a: k a n t I	n	standard_clear	false	none	false	IS	true	""
akkeri	a h c E r I	n	all	false	head	false	IS	true	
akkilesarhæll	a h c I l E s a r_0 h ai t l_0	n	all	true	none	false	IS	true	
akkúrat	a h k u r a t	lo	standard_clear	false	none	false	IS	true	
akkúrat	a h k u r a t_h	lo	north_clear	false	none	false	IS	true	
aknet	a: k n E t	n	all	true	none	false	IS	true	
akrafjall	a: k r a f j a t l_0	ns	standard_clear	true	none	false	IS	true	
akrafjall	a: k_h r a f j a t l_0	ns	north_clear	true	none	false	IS	true	
akrahreppi	a: k r a r_0 E h p I	ns	standard_clear	true	none	false	IS	true	
akrahreppi	a: k_h r a r_0 E h p I	ns	north_clear	true	none	false	IS	true	
akranes	a: k r a n E s	ns	standard_clear	true	modifier	false	IS	true	
akranes	a: k_h r a n E s	ns	north_clear	true	modifier	false	IS	true	
akranesi	a: k r a n E s I	ns	standard_clear	true	none	false	IS	true	
